Feedstock_ID,Feed_S%,Feed_S%_stdev,Char_S%,Char_S%_stdev,Condensate_S%,Condensate_S%_stdev,Feed_S_load_g_h-1,Feed_S_load_g_h-1_stdev,Gas_S_load_g_h-1,Gas_S_load_g_h-1_stdev
CWC-500,0.000073,0.000003,0.000081,0.000004,6.94E-05,3.47E-06,0.400534839,0.016460336,0.19,0.02
CWC-600,0.000073,0.000003,0.000083,0.000001,7.11E-05,3.55E-06,0.364177931,0.014966216,0.16,0.02
CWC-700,0.000073,0.000003,0.000089,0.000004,6.89E-05,3.45E-06,0.346839052,0.01425366,0.16,0.02
CWC-750,0.000073,0.000003,0.00011,0.00001,6.15E-05,3.08E-06,0.358400857,0.014728802,0.22,0.02
WT-500,0.00066,0.00002,0.00157,0.00006,5.16E-05,2.58E-06,5.900646162,0.178807459,1.37,0.24
WT-600,0.00066,0.00002,0.00193,0.00006,4.96E-05,2.48E-06,2.819287041,0.085432941,0.48,0.11
WT-700,0.00066,0.00002,0.00227,0.00006,4.28E-05,4.28E-07,3.2907852,0.099720764,0.82,0.12
WT-800,0.00066,0.00002,0.00253,0.00006,4.09E-05,4.09E-07,3.2907852,0.099720764,0.88,0.11
GW-500,0.00049,0.00001,0.00089,0.00001,7.71E-05,7.71E-07,3.2001361,0.0653089,1.15,0.07
GW-600,0.00049,0.00001,0.001,0,6.06E-05,6.06E-07,2.31665254,0.047278623,0.69,0.05
GW-800,0.00049,0.00001,0.00078,0.00003,5.29E-05,5.29E-07,2.649217377,0.054065661,1.54,0.07
DSS-1-500,0.0046,0.0004,0.0081,0.0009,0.005874377,0.000961371,33.52123301,2.914889827,-19.44,5.68
DSS-1-600,0.0046,0.0004,0.0064,0.0007,0.002905218,0.000148909,33.52123301,2.914889827,-1.99,4.2
DSS-1-700,0.0046,0.0004,0.0072,0.0007,0.003224726,0.000488808,32.00573625,2.7831075,-8.04,4.33
DSS-1-770,0.0046,0.0004,0.008,0.001,0.001612914,0.000244488,32.00573625,2.7831075,-11.14,5.64
DSS-2-500,0.0069,0.0002,0.0074,0.0003,0.003963656,0.000104775,34.34261124,0.995438007,5.37,1.29
DSS-2-600,0.0069,0.0002,0.00786,0.00006,0.003565387,5.15E-05,36.20857692,1.049523969,9.79,1.07
DSS-2-700,0.0069,0.0002,0.00836,0.00006,0.003194002,5.25E-05,34.0556495,0.987120275,5.73,1.01
DSS-2-800,0.0069,0.0002,0.0082,0.0002,0.002893828,0.000199401,36.20857692,1.049523969,10.96,1.26
LSS-600,0.0055,0.0001,0.0046,0.0006,0.005505177,0.000181103,50.9124,0.92568,13.39,3.32
LSS-760,0.0055,0.0001,0.0063,0.0008,0.002707387,0.000316566,50.9124,0.92568,16.43,3.8
FWR-600,0.00247,0.00006,0.0019,0.0008,0.005381534,0.000447132,12.88019533,0.312879239,1.38,1.66
FWR-800,0.00247,0.00006,0.0023,0.0002,0.003841713,0.000319194,12.88019533,0.312879239,3.33,0.66
